site_id,lat,lon,state,region,n_cells,operators,radio_mix,in_electrified,dist_to_grid_km,grid_line_source,dist_to_road_km,slope_deg,terrain_distance_km,pvout_kwh_kwp_day,displaced_fraction,displaced_litres,avoided_tco2e,delivered_cost_per_litre_usd,annual_savings_usd,capex_usd,payback_years,population_served,facilities_served,ookla_avg_d_kbps,ookla_tests,ookla_devices,predicted_d_kbps,residual_kbps,confidence_tier,rank_carbon_per_1k,rank_payback,rank_people_per_tonne,rank_combined,top_factors
MY-00016,1.51516,112.57101,Sarawak,Sarawak,2,3,LTE,False,15.22,predicted,16.19,10.8,20.07,3.923,0.651,8465.0,22.26,2.538,21480.0,56051.0,2.61,153,0,1494.0,27,9,9052.0,-7558.0,thin,0.3972,2.61,6.9,35.9,pvout:+0.17|dist_road:+0.25|population:-0.09|slope:+0.09
MY-00017,3.97663,101.58393,Terengganu,Peninsular,5,2,"GSM,LTE",False,5.43,osm,2.53,2.0,2.65,3.625,0.636,8271.0,21.75,1.159,9588.0,43852.0,4.57,2380,1,7234.0,34,13,11638.0,-4403.0,strong,0.4961,4.57,109.4,57.1,pvout:+0.20|dist_road:+0.06|population:+0.07|slope:-0.01
MY-00018,4.35955,115.88005,Sabah,Sabah,1,2,GSM,False,10.54,predicted,28.18,7.7,33.01,4.281,0.669,8697.0,22.87,3.561,30970.0,65108.0,2.1,535,0,,0,0,,,unknown,0.3513,2.1,23.4,45.3,pvout:+0.21|dist_road:+0.33|population:+0.25|slope:-0.20
MY-00019,1.73144,111.09963,Sarawak,Sarawak,4,1,"GSM,LTE",False,22.69,predicted,13.45,11.9,17.02,3.9,0.65,8450.0,22.22,2.296,19399.0,53911.0,2.78,1037,0,,0,0,,,unknown,0.4122,2.78,46.7,51.1,pvout:+0.08|dist_road:+0.14|population:+0.10|slope:-0.04
MY-00020,3.60594,113.44496,Sarawak,Sarawak,1,1,"GSM,UMTS",False,23.0,osm,15.14,2.5,15.99,3.854,0.648,8420.0,22.15,2.215,18649.0,53194.0,2.85,1382,3,11477.0,30,14,10687.0,790.0,strong,0.4163,2.85,62.4,54.6,pvout:+0.15|dist_road:+0.34|population:-0.05|slope:+0.03
MY-00021,1.9756,104.13472,Kelantan,Peninsular,6,2,GSM,False,9.91,osm,3.98,2.7,4.22,4.078,0.659,8565.0,22.53,1.284,10995.0,44953.0,4.09,3221,0,13234.0,38,9,11609.0,1625.0,strong,0.5011,4.09,143.0,64.1,pvout:+0.34|dist_road:+0.08|population:-0.08|slope:-0.17
MY-00022,5.15024,118.5606,Sabah,Sabah,5,3,GSM,False,13.36,predicted,5.99,7.5,6.99,3.599,0.635,8254.0,21.71,1.503,12403.0,46891.0,3.78,444,0,,0,0,,,unknown,0.4629,3.78,20.5,39.4,pvout:+0.37|dist_road:+0.16|population:+0.22|slope:-0.08
MY-00023,6.77348,115.33181,Sabah,Sabah,7,3,GSM,False,3.96,predicted,0.78,2.4,0.82,3.513,0.631,8199.0,21.56,1.015,8323.0,42577.0,5.12,1530,0,,0,0,,,unknown,0.5064,5.12,71.0,53.2,pvout:+0.21|dist_road:+0.32|population:+0.02|slope:+0.01
MY-00024,5.30337,116.81254,Sabah,Sabah,4,2,"GSM,UMTS",False,16.03,predicted,19.7,4.3,21.6,4.023,0.656,8530.0,22.43,2.658,22671.0,57117.0,2.52,251,1,,0,0,,,unknown,0.3928,2.52,11.2,38.8,pvout:+0.20|dist_road:+0.08|population:-0.17|slope:-0.18
MY-00026,3.87175,110.28833,Sarawak,Sarawak,2,1,LTE,False,14.92,predicted,41.54,3.8,45.06,3.57,0.633,8235.0,21.66,4.514,37174.0,73544.0,1.98,24,1,,0,0,,,unknown,0.2945,1.98,1.1,33.2,pvout:+0.30|dist_road:+0.16|population:+0.03|slope:-0.21
MY-00029,3.35765,115.0349,Sarawak,Sarawak,1,1,GSM,False,12.15,predicted,18.59,2.2,19.49,3.524,0.631,8206.0,21.58,2.492,20445.0,55645.0,2.72,895,0,13602.0,24,6,10364.0,3237.0,thin,0.3878,2.72,41.5,46.8,pvout:+0.27|dist_road:+0.29|population:+0.11|slope:+0.09
MY-00030,4.80791,114.78943,Sarawak,Sarawak,6,1,LTE,False,12.72,predicted,27.76,5.5,31.13,3.714,0.641,8329.0,21.91,3.412,28417.0,63789.0,2.24,83,0,7569.0,22,9,8666.0,-1098.0,thin,0.3434,2.24,3.8,33.7,pvout:+0.06|dist_road:+0.05|population:+0.05|slope:-0.16
MY-00031,6.62652,118.77001,Sabah,Sabah,4,3,GSM,False,14.46,osm,14.58,3.0,15.55,3.629,0.636,8274.0,21.76,2.179,18032.0,52882.0,2.93,315,0,,0,0,,,unknown,0.4115,2.93,14.5,37.6,pvout:+0.29|dist_road:+0.29|population:-0.15|slope:+0.07
MY-00033,6.08854,102.40081,Johor,Peninsular,5,1,"GSM,LTE",False,6.4,osm,0.53,0.1,0.53,4.172,0.664,8627.0,22.69,0.992,8558.0,42372.0,4.95,713,0,16099.0,17,7,11459.0,4640.0,strong,0.5354,4.95,31.4,47.9,pvout:+0.06|dist_road:+0.26|population:-0.01|slope:-0.02
MY-00034,2.92566,110.67865,Sarawak,Sarawak,8,3,"GSM,LTE",False,22.37,predicted,7.9,6.4,9.03,3.774,0.644,8368.0,22.01,1.664,13922.0,48318.0,3.47,906,0,,0,0,,,unknown,0.4555,3.47,41.2,49.1,pvout:+0.08|dist_road:+0.33|population:+0.27|slope:-0.07
MY-00035,6.51976,99.82736,Pahang,Peninsular,2,1,LTE,False,20.42,predicted,1.78,3.8,1.93,4.073,0.659,8562.0,22.52,1.103,9441.0,43351.0,4.59,1144,0,7435.0,30,7,11235.0,-3800.0,thin,0.5195,4.59,50.8,54.0,pvout:+0.23|dist_road:+0.24|population:+0.09|slope:-0.06
MY-00036,6.50831,103.26861,Pahang,Peninsular,7,2,"GSM,UMTS",False,6.13,osm,0.69,2.2,0.72,3.493,0.63,8186.0,21.53,1.007,8242.0,42503.0,5.16,1933,1,12815.0,33,15,11639.0,1176.0,strong,0.5065,5.16,89.8,55.6,pvout:+0.26|dist_road:+0.31|population:+0.11|slope:-0.18
MY-00039,2.85665,113.00828,Sarawak,Sarawak,1,3,"GSM,LTE",False,14.56,osm,2.1,5.4,2.35,4.036,0.657,8538.0,22.46,1.136,9700.0,43646.0,4.5,660,0,,0,0,,,unknown,0.5145,4.5,29.4,47.9,pvout:+0.37|dist_road:+0.11|population:-0.12|slope:+0.10
MY-00040,1.77348,102.0828,Pahang,Peninsular,1,3,"GSM,UMTS",False,12.39,osm,3.39,7.8,3.98,3.871,0.649,8431.0,22.17,1.265,10662.0,44784.0,4.2,885,0,10882.0,37,8,10689.0,193.0,strong,0.4951,4.2,39.9,48.7,pvout:+0.12|dist_road:+0.08|population:+0.08|slope:+0.04
MY-00042,2.37463,113.76476,Sarawak,Sarawak,7,3,GSM,False,10.13,osm,17.57,5.4,19.67,3.924,0.651,8465.0,22.26,2.506,21213.0,55771.0,2.63,1137,0,14074.0,30,12,10223.0,3852.0,strong,0.3992,2.63,51.1,52.8,pvout:+0.07|dist_road:+0.20|population:-0.17|slope:-0.10
MY-00043,2.11653,101.93564,Kelantan,Peninsular,5,3,LTE,False,4.37,predicted,5.92,2.2,6.2,3.851,0.648,8418.0,22.14,1.441,12126.0,46342.0,3.82,719,1,17325.0,25,7,10979.0,6345.0,thin,0.4777,3.82,32.5,47.4,pvout:+0.17|dist_road:+0.09|population:+0.27|slope:-0.03
MY-00044,4.37679,117.38424,Sabah,Sabah,6,1,GSM,False,17.05,predicted,22.04,10.3,27.09,3.811,0.646,8392.0,22.07,3.093,25954.0,60964.0,2.35,503,1,5292.0,31,13,9225.0,-3933.0,thin,0.362,2.35,22.8,43.4,pvout:+0.35|dist_road:+0.32|population:+0.27|slope:+0.01
MY-00045,6.06944,116.79024,Sabah,Sabah,2,1,GSM,False,8.59,predicted,20.77,6.8,23.89,3.772,0.644,8367.0,22.0,2.84,23759.0,58725.0,2.47,409,1,,0,0,,,unknown,0.3747,2.47,18.6,40.8,pvout:+0.16|dist_road:+0.30|population:+0.06|slope:-0.15
MY-00046,2.98323,99.72627,Pahang,Peninsular,8,1,LTE,False,7.95,osm,8.42,1.2,8.65,3.97,0.653,8495.0,22.34,1.634,13880.0,48052.0,3.46,1801,0,9080.0,22,6,11278.0,-2198.0,strong,0.465,3.46,80.6,58.8,pvout:+0.19|dist_road:+0.14|population:+0.03|slope:+0.02
MY-00047,4.27507,103.47592,Terengganu,Peninsular,7,1,"GSM,LTE",False,7.35,osm,4.99,2.5,5.27,4.023,0.656,8530.0,22.43,1.367,11657.0,45687.0,3.92,728,1,,0,0,,,unknown,0.491,3.92,32.5,49.6,pvout:+0.22|dist_road:+0.13|population:-0.16|slope:+0.05
MY-00048,1.82011,112.1674,Sarawak,Sarawak,4,2,"GSM,LTE",False,18.87,predicted,16.73,14.6,22.14,3.96,0.653,8489.0,22.33,2.701,22930.0,57500.0,2.51,94,0,,0,0,,,unknown,0.3883,2.51,4.2,34.9,pvout:+0.20|dist_road:+0.18|population:+0.18|slope:+0.05
MY-00050,5.79814,103.91807,Terengganu,Peninsular,2,2,GSM,False,5.84,osm,5.42,2.2,5.69,3.6,0.635,8255.0,21.71,1.4,11557.0,45982.0,3.98,5240,1,14251.0,39,16,11759.0,2492.0,strong,0.4722,3.98,241.4,60.4,pvout:+0.23|dist_road:+0.24|population:-0.08|slope:+0.08
MY-00052,7.26093,118.53042,Sabah,Sabah,1,2,GSM,False,5.08,predicted,11.01,7.1,12.74,4.342,0.672,8737.0,22.98,1.957,17101.0,50916.0,2.98,870,0,,0,0,,,unknown,0.4513,2.98,37.9,52.4,pvout:+0.25|dist_road:+0.27|population:-0.14|slope:-0.03
MY-00053,1.08845,110.50649,Sarawak,Sarawak,2,2,LTE,False,18.18,osm,6.64,6.1,7.54,3.946,0.652,8480.0,22.3,1.546,13109.0,47275.0,3.61,1777,1,,0,0,,,unknown,0.4717,3.61,79.7,58.6,pvout:+0.18|dist_road:+0.19|population:+0.14|slope:+0.03
MY-00054,2.34407,110.20408,Sarawak,Sarawak,7,1,GSM,False,13.71,predicted,17.79,5.3,19.88,3.776,0.644,8370.0,22.01,2.522,21108.0,55913.0,2.65,1092,0,,0,0,,,unknown,0.3937,2.65,49.6,51.3,pvout:+0.17|dist_road:+0.31|population:-0.09|slope:-0.05
MY-00055,5.36727,118.10919,Sabah,Sabah,4,1,"GSM,LTE",False,14.43,osm,13.15,10.4,16.19,3.967,0.653,8494.0,22.34,2.23,18944.0,53332.0,2.82,396,0,,0,0,,,unknown,0.4189,2.82,17.7,42.3,pvout:+0.10|dist_road:+0.14|population:+0.25|slope:-0.25
MY-00056,3.81678,115.39864,Sarawak,Sarawak,6,3,"GSM,LTE",False,21.51,osm,8.03,8.7,9.58,3.559,0.633,8228.0,21.64,1.708,14051.0,48706.0,3.47,234,1,,0,0,,,unknown,0.4443,3.47,10.8,34.8,pvout:+0.37|dist_road:+0.15|population:+0.15|slope:-0.22
MY-00057,0.97559,112.24104,Sarawak,Sarawak,8,2,GSM,False,3.62,osm,8.04,1.6,8.32,4.293,0.67,8705.0,22.89,1.608,13997.0,47823.0,3.42,652,0,,0,0,,,unknown,0.4787,3.42,28.5,51.9,pvout:+0.27|dist_road:+0.32|population:+0.08|slope:-0.12
MY-00059,2.25962,100.99764,Kedah,Peninsular,4,2,LTE,True,4.11,osm,7.94,1.0,8.11,3.699,0.64,8319.0,21.88,1.591,13240.0,47677.0,3.6,2199,1,5363.0,27,7,11399.0,-6037.0,strong,0.4589,3.6,100.5,58.4,pvout:+0.33|dist_road:+0.26|population:-0.14|slope:-0.02
MY-00060,2.70063,114.66068,Sarawak,Sarawak,3,2,GSM,False,7.05,osm,14.71,4.1,16.03,3.85,0.647,8417.0,22.14,2.218,18670.0,53224.0,2.85,502,0,,0,0,,,unknown,0.4159,2.85,22.7,43.6,pvout:+0.28|dist_road:+0.28|population:-0.04|slope:-0.11
MY-00061,3.54044,112.39778,Sarawak,Sarawak,1,3,"LTE,NR",False,16.48,osm,6.23,1.8,6.49,3.742,0.642,8347.0,21.95,1.463,12213.0,46542.0,3.81,203,0,,0,0,,,unknown,0.4717,3.81,9.2,35.4,pvout:+0.39|dist_road:+0.22|population:+0.05|slope:+0.10
MY-00062,3.40266,114.94967,Sarawak,Sarawak,7,2,GSM,False,9.69,predicted,21.28,1.9,22.17,4.294,0.67,8706.0,22.9,2.704,23538.0,57522.0,2.44,918,0,400.0,21,10,10252.0,-9852.0,thin,0.398,2.44,40.1,52.4,pvout:+0.13|dist_road:+0.17|population:+0.18|slope:-0.00
MY-00063,4.08426,110.109,Sarawak,Sarawak,8,2,"GSM,LTE",False,4.05,predicted,8.96,7.7,10.49,3.839,0.647,8411.0,22.12,1.78,14967.0,49342.0,3.3,963,0,12558.0,20,8,10425.0,2133.0,thin,0.4483,3.3,43.5,50.4,pvout:+0.39|dist_road:+0.25|population:-0.04|slope:-0.11
MY-00064,4.22313,110.26131,Sarawak,Sarawak,5,3,"GSM,LTE",False,11.46,osm,1.34,7.2,1.56,3.947,0.652,8480.0,22.3,1.073,9099.0,43089.0,4.74,735,0,13928.0,24,6,10790.0,3138.0,strong,0.5176,4.74,33.0,48.1,pvout:+0.08|dist_road:+0.33|population:-0.14|slope:-0.06
MY-00065,3.81799,114.99187,Sarawak,Sarawak,4,1,"GSM,LTE",False,12.19,osm,23.19,5.7,26.15,4.072,0.659,8562.0,22.52,3.018,25842.0,60306.0,2.33,672,0,,0,0,,,unknown,0.3734,2.33,29.8,48.0,pvout:+0.19|dist_road:+0.09|population:-0.05|slope:-0.03
MY-00066,1.32147,115.09546,Sarawak,Sarawak,7,3,"GSM,LTE",False,17.54,predicted,9.17,3.8,9.94,3.678,0.639,8306.0,21.84,1.736,14416.0,48955.0,3.4,3226,2,,0,0,,,unknown,0.4462,3.4,147.7,60.5,pvout:+0.06|dist_road:+0.34|population:+0.25|slope:-0.22
MY-00067,2.71693,100.47082,Perak,Peninsular,3,2,"GSM,LTE",False,5.75,predicted,3.77,0.9,3.84,3.958,0.653,8488.0,22.32,1.254,10644.0,44691.0,4.2,1070,1,8295.0,40,13,11367.0,-3071.0,thin,0.4995,4.2,47.9,51.8,pvout:+0.35|dist_road:+0.15|population:-0.17|slope:-0.14
MY-00068,2.23362,103.41956,Kelantan,Peninsular,4,1,"GSM,LTE",False,6.23,predicted,5.12,2.0,5.36,3.982,0.654,8504.0,22.36,1.374,11680.0,45749.0,3.92,7197,4,10201.0,29,9,11910.0,-1709.0,thin,0.4888,3.92,321.8,66.3,pvout:+0.33|dist_road:+0.25|population:-0.08|slope:+0.00
MY-00069,5.83005,102.08363,Pahang,Peninsular,8,3,"GSM,LTE",True,5.24,osm,8.43,3.6,9.1,3.434,0.627,8147.0,21.43,1.67,13603.0,48371.0,3.56,959,0,9252.0,23,8,10822.0,-1571.0,strong,0.443,3.56,44.8,46.6,pvout:+0.30|dist_road:+0.27|population:+0.07|slope:+0.04
MY-00072,4.17321,117.12046,Sabah,Sabah,2,3,GSM,False,13.02,osm,18.89,13.0,24.36,3.939,0.652,8475.0,22.29,2.876,24377.0,59049.0,2.42,448,0,,0,0,,,unknown,0.3775,2.42,20.1,43.2,pvout:+0.27|dist_road:+0.09|population:+0.21|slope:-0.14
MY-00074,3.33051,103.80708,Terengganu,Peninsular,4,1,"GSM,LTE",False,14.83,osm,10.66,2.0,11.14,3.978,0.654,8501.0,22.36,1.831,15566.0,49800.0,3.2,3194,1,2203.0,20,4,11298.0,-9095.0,thin,0.4489,3.2,142.9,62.3,pvout:+0.30|dist_road:+0.25|population:-0.03|slope:-0.19
MY-00075,3.50525,100.60052,Terengganu,Peninsular,3,3,LTE,False,12.4,osm,5.0,1.5,5.17,4.301,0.67,8711.0,22.91,1.359,11834.0,45616.0,3.85,831,1,17419.0,23,8,11143.0,6275.0,strong,0.5022,3.85,36.3,54.4,pvout:+0.29|dist_road:+0.30|population:+0.22|slope:-0.03
MY-00076,5.35208,102.55251,Kelantan,Peninsular,8,3,GSM,False,7.43,predicted,1.71,0.7,1.73,3.546,0.632,8220.0,21.62,1.087,8935.0,43213.0,4.84,1374,0,10588.0,13,3,11587.0,-998.0,thin,0.5003,4.84,63.6,51.3,pvout:+0.13|dist_road:+0.14|population:+0.18|slope:-0.11
MY-00077,2.84759,111.42536,Sarawak,Sarawak,4,3,"GSM,LTE",False,13.65,predicted,17.22,2.2,18.05,3.797,0.645,8383.0,22.05,2.378,19932.0,54635.0,2.74,1868,0,,0,0,,,unknown,0.4036,2.74,84.7,57.0,pvout:+0.31|dist_road:+0.14|population:-0.20|slope:-0.04
MY-00078,3.37396,111.65996,Sarawak,Sarawak,8,2,GSM,False,10.38,predicted,31.5,7.2,36.54,4.1,0.66,8580.0,22.57,3.84,32945.0,67577.0,2.05,1514,1,8824.0,32,9,9403.0,-578.0,thin,0.3339,2.05,67.1,56.3,pvout:+0.26|dist_road:+0.24|population:-0.07|slope:+0.03
MY-00080,1.90682,112.22421,Sarawak,Sarawak,3,2,"GSM,LTE",False,9.49,osm,30.48,4.7,33.67,4.038,0.657,8540.0,22.46,3.613,30852.0,65569.0,2.13,523,0,6554.0,25,8,9279.0,-2725.0,strong,0.3425,2.13,23.3,44.5,pvout:+0.22|dist_road:+0.28|population:+0.11|slope:-0.10
MY-00081,5.41624,103.91511,Kelantan,Peninsular,4,2,"GSM,LTE",True,3.71,osm,1.94,12.3,2.47,4.726,0.691,8987.0,23.64,1.145,10294.0,43730.0,4.25,2449,2,13382.0,38,11,10751.0,2631.0,strong,0.5405,4.25,103.6,65.2,pvout:+0.29|dist_road:+0.22|population:+0.06|slope:-0.02
MY-00082,7.00447,116.14279,Sabah,Sabah,5,1,"GSM,LTE",False,12.61,osm,22.21,2.2,23.29,4.084,0.659,8570.0,22.54,2.792,23930.0,58306.0,2.44,362,1,4817.0,28,12,9820.0,-5004.0,strong,0.3866,2.44,16.1,42.0,pvout:+0.08|dist_road:+0.32|population:-0.03|slope:-0.17
MY-00083,2.47543,101.49743,Perak,Peninsular,2,2,LTE,False,6.29,predicted,2.83,0.7,2.88,4.239,0.667,8671.0,22.8,1.177,10209.0,44013.0,4.31,21116,8,11000.0,31,6,12569.0,-1569.0,thin,0.5181,4.31,926.0,69.7,pvout:+0.32|dist_road:+0.12|population:+0.30|slope:-0.10
MY-00084,6.296,100.18531,Kelantan,Peninsular,3,1,GSM,False,9.45,predicted,5.67,12.2,7.21,3.808,0.645,8390.0,22.07,1.52,12753.0,47045.0,3.69,2524,0,400.0,33,14,10570.0,-10170.0,thin,0.469,3.69,114.4,60.1,pvout:+0.15|dist_road:+0.07|population:-0.18|slope:-0.22
MY-00086,1.07446,112.01374,Sarawak,Sarawak,3,1,GSM,False,6.22,osm,8.2,4.7,9.05,3.806,0.645,8389.0,22.06,1.666,13973.0,48334.0,3.46,1979,1,,0,0,,,unknown,0.4565,3.46,89.7,58.3,pvout:+0.05|dist_road:+0.15|population:-0.04|slope:-0.10
MY-00087,1.81672,110.70226,Sarawak,Sarawak,7,1,LTE,False,21.16,predicted,7.91,3.3,8.49,4.114,0.661,8589.0,22.59,1.621,13925.0,47941.0,3.44,417,0,,0,0,,,unknown,0.4712,3.44,18.5,45.7,pvout:+0.13|dist_road:+0.07|population:-0.16|slope:-0.19
MY-00088,6.05983,102.01247,Johor,Peninsular,4,1,LTE,False,8.4,osm,7.7,3.8,8.34,4.022,0.656,8529.0,22.43,1.61,13732.0,47841.0,3.48,5472,2,13985.0,23,8,11506.0,2478.0,strong,0.4689,3.48,243.9,66.4,pvout:+0.16|dist_road:+0.09|population:-0.02|slope:+0.07
MY-00089,2.76507,114.81058,Sarawak,Sarawak,8,3,GSM,False,8.26,predicted,21.21,4.4,23.27,4.021,0.656,8529.0,22.43,2.791,23801.0,58292.0,2.45,113,0,,0,0,,,unknown,0.3848,2.45,5.0,35.5,pvout:+0.14|dist_road:+0.10|population:+0.13|slope:-0.08
MY-00091,2.59711,111.06918,Sarawak,Sarawak,7,2,"GSM,LTE",False,10.28,predicted,1.85,10.5,2.28,3.788,0.644,8377.0,22.03,1.13,9468.0,43595.0,4.6,1718,0,,0,0,,,unknown,0.5054,4.6,78.0,56.0,pvout:+0.07|dist_road:+0.29|population:+0.16|slope:+0.09
MY-00092,2.77561,104.41429,Johor,Peninsular,4,2,"LTE,NR",False,3.22,osm,4.07,0.7,4.13,3.846,0.647,8415.0,22.13,1.277,10743.0,44891.0,4.18,9606,4,7198.0,22,5,12196.0,-4999.0,strong,0.493,4.18,434.0,64.6,pvout:+0.38|dist_road:+0.23|population:+0.14|slope:-0.11
MY-00093,5.80169,102.61461,Perak,Peninsular,1,1,GSM,False,6.31,osm,2.76,1.5,2.85,4.117,0.661,8591.0,22.6,1.176,10100.0,43997.0,4.36,922,0,5219.0,28,9,11310.0,-6090.0,strong,0.5136,4.36,40.8,52.1,pvout:+0.36|dist_road:+0.22|population:-0.04|slope:-0.25
MY-00094,2.33336,101.7399,Kedah,Peninsular,6,3,"GSM,LTE",False,20.74,osm,7.61,4.8,8.43,4.152,0.663,8614.0,22.65,1.616,13924.0,47899.0,3.44,820,0,10171.0,26,11,10696.0,-526.0,strong,0.473,3.44,36.2,53.0,pvout:+0.26|dist_road:+0.21|population:+0.21|slope:-0.18
MY-00095,1.62433,113.69058,Sarawak,Sarawak,2,3,"GSM,UMTS",False,12.33,predicted,24.6,12.0,31.16,3.598,0.635,8254.0,21.71,3.414,28181.0,63812.0,2.26,1061,0,5681.0,25,11,9215.0,-3535.0,thin,0.3402,2.26,48.9,51.1,pvout:+0.34|dist_road:+0.05|population:+0.09|slope:-0.11
MY-00096,3.55055,101.47592,Kelantan,Peninsular,2,3,"GSM,LTE",False,7.64,osm,8.17,3.3,8.77,4.129,0.661,8599.0,22.61,1.644,14134.0,48140.0,3.41,1071,0,18316.0,20,6,10904.0,7412.0,strong,0.4698,3.41,47.4,55.2,pvout:+0.17|dist_road:+0.18|population:-0.09|slope:-0.19
